1,1992-1993,22,Manchester United
2,1993-1994,22,Manchester United
3,1994-1995,22,Blackburn Rovers
4,1995-1996,20,Manchester United
5,1996-1997,20,Manchester United
6,1997-1998,20,Arsenal
7,1998-1999,20,Manchester United
8,1999-2000,20,Manchester United
9,2000-2001,20,Manchester United
10,2001-2002,20,Arsenal
11,2002-2003,20,Manchester United
12,2003-2004,20,Arsenal
13,2004-2005,20,Chelsea
14,2005-2006,20,Chelsea
15,2006-2007,20,Manchester United
16,2007-2008,20,Manchester United
17,2008-2009,20,Manchester United
18,2009-2010,20,Chelsea
19,2010-2011,20,Manchester United
20,2011-2012,20,Manchester City
21,2012-2013,20,Manchester United
22,2013-2014,20,Manchester City
23,2014-2015,20,Chelsea
24,2015-2016,20,Leicester City
25,2016-2017,20,
